ScenarioID,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
74,1,2001,Colorado,DOM: Standing Deadwood,24054333.19470173
74,1,2001,Colorado,DOM: Down Deadwood,61866584.42527652
74,1,2001,Oklahoma,Atmosphere: CH4 [Type],0
74,1,2001,Oklahoma,Atmosphere: CO2 [Type],0
74,1,2001,Oklahoma,Atmosphere: CO [Type],0
74,1,2001,Oklahoma,Biomass: Coarse Root [Type],11090.970140695572
74,1,2001,Oklahoma,Biomass: Fine Root [Type],5198.999932408333
74,1,2001,Oklahoma,Biomass: Foliage [Type],11901.819854974747
74,1,2001,Oklahoma,Biomass: Merchantable [Type],615.9200067340862
74,1,2001,Oklahoma,Biomass: Other Wood [Type],32360.669255256653
74,1,2001,Oklahoma,DOM: Aboveground Fast [Type],111293.6704158783
74,1,2001,Oklahoma,DOM: Aboveground Medium [Type],20532.25005865097
74,1,2001,Oklahoma,DOM: Aboveground Slow [Type],228881.14376068115
74,1,2001,Oklahoma,DOM: Aboveground Very Fast [Type],16356.020158529282
74,1,2001,Oklahoma,DOM: Belowground Fast [Type],17997.929817438126
74,1,2001,Oklahoma,DOM: Belowground Slow [Type],563130.9894561768
74,1,2001,Oklahoma,DOM: Belowground Very Fast [Type],1548.5700011253357
74,1,2001,Oklahoma,DOM: Black Carbon [Type],0
74,1,2001,Oklahoma,DOM: Snag Branch [Type],629.0700007230043
74,1,2001,Oklahoma,DOM: Snag Stem [Type],7.569999983388698
74,1,2001,Oklahoma,Forestry Sector [Type],0
74,1,2001,Oklahoma,Atmosphere [Type],0
74,1,2001,Oklahoma,Black Carbon [Type],0
74,1,2001,Oklahoma,Peat [Type],0
74,1,2001,Oklahoma,Biomass: Aboveground,44878.409116965486
74,1,2001,Oklahoma,Biomass: Belowground,16289.970073103905
74,1,2001,Oklahoma,Biomass: Total,61168.37919006939
74,1,2001,Oklahoma,DOM: Aboveground,636.640000706393
74,1,2001,Oklahoma,DOM: Belowground,959740.5736684799
74,1,2001,Oklahoma,DOM: Total,960377.2136691865
74,1,2001,Oklahoma,Total Ecosystem,1021545.5928592558
74,1,2001,Oklahoma,DOM: Deadwood,39166.81987679549
